RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
1,"Darren Collison, PG",IND,69,12.4,1.4,3,96,205,0.468,220,433,0.508,1.34,0.571
2,"Reggie Bullock, SG",DET,62,11.3,2,5,125,281,0.445,142,265,0.536,1.28,0.603
3,"Otto Porter Jr., SF",WSH,77,14.7,1.8,4,138,313,0.441,307,572,0.537,1.28,0.581
4,"Joe Ingles, SF",UTAH,82,11.5,2.5,6,204,464,0.44,131,254,0.516,1.31,0.609
,"Klay Thompson, SG",GS,73,20,3.1,7,229,521,0.44,346,657,0.527,1.24,0.585
6,"Kyle Korver, SG",CLE,73,9.2,2.2,5,164,376,0.436,58,108,0.537,1.39,0.628
,"Anthony Tolliver, PF",DET,79,8.9,2,5,159,365,0.436,60,107,0.561,1.49,0.632
8,"Jayson Tatum, SF",BOS,80,13.9,1.3,3,105,242,0.434,292,593,0.492,1.33,0.538
9,"Buddy Hield, SG",SAC,80,13.5,2.2,5,176,408,0.431,240,525,0.457,1.16,0.54
10,"Al Horford, PF",BOS,72,12.9,1.3,3,97,226,0.429,271,527,0.514,1.23,0.553
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
11,"Doug McDermott, SF",DAL/NY,81,7.8,1.1,3,92,216,0.426,145,292,0.497,1.24,0.557
12,"E'Twaun Moore, SF",NO,82,12.5,1.6,4,128,301,0.425,295,531,0.556,1.23,0.585
13,"Stephen Curry, PG",GS,51,26.4,4.2,10,212,501,0.423,216,363,0.595,1.56,0.618
14,"Karl-Anthony Towns, C",MIN,82,21.3,1.5,3,120,285,0.421,519,887,0.585,1.49,0.596
15,"JJ Redick, SG",PHI,70,17.1,2.8,7,193,460,0.42,211,419,0.504,1.36,0.569
16,"D.J. Augustin, PG",ORL,75,10.2,1.5,4,114,272,0.419,130,268,0.485,1.42,0.557
,"Joe Harris, SF",BKN,78,10.8,1.9,5,150,358,0.419,155,263,0.589,1.36,0.612
,"Kevin Durant, SF",GS,68,26.4,2.5,6,173,413,0.419,457,809,0.565,1.47,0.586
19,"Luke Kennard, SG",DET,73,7.6,1.1,3,81,195,0.415,125,270,0.463,1.2,0.53
,"Nemanja Bjelica, PF",MIN,67,6.8,1.1,3,76,183,0.415,95,188,0.505,1.22,0.563
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
