RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP48M,BLK/PF
1,"Anthony Davis, PF",NO,75,36.4,193,159,2.57,3.40,1.21
2,"Kristaps Porzingis, PF",NY,48,32.4,115,141,2.40,3.55,0.82
3,"Rudy Gobert, C",UTAH,56,32.4,129,153,2.30,3.41,0.84
4,"Clint Capela, C",HOU,74,27.5,137,185,1.85,3.23,0.74
5,"Myles Turner, C",IND,65,28.2,118,186,1.82,3.08,0.63
6,"Joel Embiid, C",PHI,63,30.3,111,209,1.76,2.79,0.53
7,"Kevin Durant, SF",GS,68,34.2,119,133,1.75,2.46,0.89
8,"Andre Drummond, C",DET,78,33.7,127,250,1.63,2.32,0.51
9,"Dwight Howard, C",CHA,81,30.4,131,249,1.62,2.55,0.53
10,"John Henson, C",MIL,76,25.9,109,202,1.43,2.66,0.54
RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP48M,BLK/PF
11,"Giannis Antetokounmpo, PF",MIL,75,36.7,106,231,1.41,1.85,0.46
,"Jusuf Nurkic, C",POR,79,26.4,111,247,1.41,2.55,0.45
13,"Karl-Anthony Towns, C",MIN,82,35.6,115,285,1.40,1.89,0.40
14,"Marc Gasol, C",MEM,73,33.0,101,185,1.38,2.01,0.55
15,"Brook Lopez, C",LAL,74,23.4,98,195,1.32,2.71,0.50
16,"Serge Ibaka, PF",TOR,76,27.5,99,209,1.30,2.27,0.47
,"Draymond Green, PF",GS,70,32.7,91,185,1.30,1.91,0.49
18,"Kyle O'Quinn, C",NY,77,18.0,98,192,1.27,3.39,0.51
19,"Jarrett Allen, C",BKN,72,20.0,88,147,1.22,2.93,0.60
,"Jakob Poeltl, C",TOR,82,18.6,100,212,1.22,3.15,0.47
RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP48M,BLK/PF
21,"LaMarcus Aldridge, PF",SA,75,33.5,90,161,1.20,1.72,0.56
22,"Ekpe Udoh, C",UTAH,63,12.9,74,105,1.17,4.39,0.70
23,"Bismack Biyombo, C",ORL,82,18.2,95,158,1.16,3.05,0.60
24,"Danny Green, SG",SA,70,25.6,80,122,1.14,2.14,0.66
25,"Salah Mejri, C",DAL,61,12.0,67,121,1.10,4.41,0.55
26,"Mason Plumlee, C",DEN,74,19.5,81,184,1.09,2.70,0.44
27,"Al Horford, PF",BOS,72,31.6,78,138,1.08,1.64,0.57
,"John Collins, PF",ATL,74,24.1,80,215,1.08,2.15,0.37
29,"Derrick Favors, PF",UTAH,77,28.0,82,164,1.06,1.83,0.50
30,"David West, PF",GS,73,13.7,75,120,1.03,3.60,0.63
RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP48M,BLK/PF
,"Steven Adams, C",OKC,76,32.7,78,215,1.03,1.51,0.36
,"Pau Gasol, C",SA,77,23.5,79,121,1.03,2.09,0.65
33,"Marquese Chriss, PF",PHX,72,21.2,70,205,0.97,2.20,0.34
34,"Jerami Grant, SF",OKC,81,20.3,77,155,0.95,2.24,0.50
35,"Josh Richardson, SF",MIA,81,33.2,75,199,0.93,1.34,0.38
36,"Willie Cauley-Stein, C",SAC,73,28.0,67,185,0.92,1.57,0.36
37,"DeAndre Jordan, C",LAC,77,31.5,70,203,0.91,1.39,0.34
38,"Robert Covington, SF",PHI,80,31.6,72,238,0.90,1.37,0.30
,"Jonas Valanciunas, C",TOR,77,22.4,69,192,0.90,1.92,0.36
40,"Alex Len, C",PHX,69,20.2,61,158,0.88,2.10,0.39
RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP48M,BLK/PF
41,"JaVale McGee, C",GS,65,9.5,57,91,0.88,4.45,0.63
42,"LeBron James, SF",CLE,82,36.9,71,136,0.87,1.13,0.52
43,"Ben Simmons, PG",PHI,81,33.7,70,211,0.86,1.23,0.33
44,"Kevon Looney, SF",GS,66,13.8,56,106,0.85,2.95,0.53
45,"Wesley Johnson, SF",LAC,74,20.1,62,146,0.84,2.00,0.42
46,"Robin Lopez, C",CHI,64,26.4,53,109,0.83,1.51,0.49
47,"Dewayne Dedmon, C",ATL,62,24.9,51,162,0.82,1.59,0.31
