RK,PLAYER,TEAM,GP,PPG,FGM,FGA,FGM,FGA,FG%,2PM,2PA,2P%,PPS,FG%
1,"Clint Capela, C",HOU,74,13.9,6,9.1,441,676,0.652,441,675,0.653,1.52,0.652
2,"DeAndre Jordan, C",LAC,77,12,4.8,7.5,373,578,0.645,373,578,0.645,1.6,0.645
3,"Montrezl Harrell, PF",LAC,76,11,4.6,7.2,348,548,0.635,347,541,0.641,1.53,0.636
4,"Steven Adams, C",OKC,76,13.9,5.9,9.4,448,712,0.629,448,710,0.631,1.48,0.629
5,"Enes Kanter, C",NY,71,14.1,5.9,10,422,713,0.592,422,711,0.594,1.4,0.592
6,"Taj Gibson, PF",MIN,82,12.2,5.2,9,425,737,0.577,418,702,0.595,1.36,0.581
7,"John Collins, PF",ATL,74,10.5,4.2,7.4,314,545,0.576,298,498,0.598,1.43,0.591
8,"Jonas Valanciunas, C",TOR,77,12.7,5.1,8.9,390,687,0.568,360,613,0.587,1.43,0.59
9,"Derrick Favors, PF",UTAH,77,12.3,5.1,9.1,395,702,0.563,381,639,0.596,1.34,0.573
10,"Julius Randle, PF",LAL,82,16.1,6.1,11,504,904,0.558,494,859,0.575,1.46,0.563
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FGM,FGA,FGM,FGA,FG%,2PM,2PA,2P%,PPS,FG%
11,"Dwight Howard, C",CHA,81,16.6,6.2,11.2,506,911,0.555,505,904,0.559,1.48,0.556
12,"Karl-Anthony Towns, C",MIN,82,21.3,7.8,14.3,639,1172,0.545,519,887,0.585,1.49,0.596
13,"Ben Simmons, PG",PHI,81,15.8,6.7,12.3,544,998,0.545,544,987,0.551,1.28,0.545
14,"LeBron James, SF",CLE,82,27.5,10.5,19.3,857,1580,0.542,708,1174,0.603,1.42,0.59
15,"Hassan Whiteside, C",MIA,54,14,5.8,10.7,312,578,0.54,310,576,0.538,1.3,0.542
16,"Anthony Davis, PF",NO,75,28.1,10.4,19.5,780,1462,0.534,725,1300,0.558,1.44,0.552
17,"Robin Lopez, C",CHI,64,11.8,5.3,10.1,342,645,0.53,338,631,0.536,1.17,0.533
18,"Giannis Antetokounmpo, PF",MIL,75,26.9,9.9,18.7,742,1402,0.529,699,1262,0.554,1.44,0.545
19,"Andre Drummond, C",DET,78,15,6,11.3,466,881,0.529,466,870,0.536,1.33,0.529
20,"Kevin Durant, SF",GS,68,26.4,9.3,18,630,1222,0.516,457,809,0.565,1.47,0.586
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FGM,FGA,FGM,FGA,FG%,2PM,2PA,2P%,PPS,FG%
21,"Domantas Sabonis, C",IND,74,11.6,4.6,8.9,340,661,0.514,327,624,0.524,1.3,0.524
22,"LaMarcus Aldridge, PF",SA,75,23.1,9.2,18,687,1347,0.51,660,1255,0.526,1.29,0.52
23,"E'Twaun Moore, SF",NO,82,12.5,5.2,10.1,423,832,0.508,295,531,0.556,1.23,0.585
24,"Michael Beasley, SF",NY,74,13.2,5.5,10.9,409,807,0.507,375,721,0.52,1.21,0.528
25,"Jusuf Nurkic, C",POR,79,14.3,6.1,12,480,951,0.505,480,944,0.508,1.19,0.505
26,"James Johnson, PF",MIA,73,10.8,4.2,8.4,309,614,0.503,252,429,0.587,1.28,0.55
27,"Otto Porter Jr., SF",WSH,77,14.7,5.8,11.5,445,885,0.503,307,572,0.537,1.28,0.581
28,"Willie Cauley-Stein, C",SAC,73,12.8,5.3,10.6,388,773,0.502,385,761,0.506,1.21,0.504
29,"Nikola Jokic, C",DEN,75,18.5,6.7,13.5,504,1010,0.499,393,730,0.538,1.37,0.554
30,"TJ Warren, SF",PHX,65,19.6,8.1,16.4,529,1063,0.498,509,973,0.523,1.2,0.507
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FGM,FGA,FGM,FGA,FG%,2PM,2PA,2P%,PPS,FG%
31,"Kelly Olynyk, PF",MIA,76,11.5,4.2,8.4,316,636,0.497,210,356,0.59,1.37,0.58
32,"Stephen Curry, PG",GS,51,26.4,8.4,16.9,428,864,0.495,216,363,0.595,1.56,0.618
33,"Darren Collison, PG",IND,69,12.4,4.6,9.2,316,638,0.495,220,433,0.508,1.34,0.571
34,"Jrue Holiday, PG",NO,81,19,7.6,15.4,615,1244,0.494,495,888,0.557,1.24,0.543
35,"Elfrid Payton, PG",ORL/PHX,63,12.7,5.2,10.6,329,667,0.493,299,575,0.52,1.19,0.516
36,"Kyrie Irving, PG",BOS,60,24.4,8.9,18.1,534,1087,0.491,368,680,0.541,1.35,0.568
37,"Joe Harris, SF",BKN,78,10.8,3.9,8,305,621,0.491,155,263,0.589,1.36,0.612
38,"Al Horford, PF",BOS,72,12.9,5.1,10.5,368,753,0.489,271,527,0.514,1.23,0.553
39,"Klay Thompson, SG",GS,73,20,7.9,16.1,575,1178,0.488,346,657,0.527,1.24,0.585
40,"Thaddeus Young, PF",IND,81,11.8,5.2,10.7,421,864,0.487,363,683,0.531,1.11,0.521
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FGM,FGA,FGM,FGA,FG%,2PM,2PA,2P%,PPS,FG%
41,"Ish Smith, PG",DET,82,10.9,4.7,9.8,389,801,0.486,354,700,0.506,1.12,0.507
42,"Gary Harris, SG",DEN,67,17.5,6.6,13.6,440,908,0.485,284,514,0.553,1.29,0.57
43,"Serge Ibaka, PF",TOR,76,12.6,5,10.3,379,784,0.483,272,487,0.559,1.22,0.552
44,"Joel Embiid, C",PHI,63,22.9,8.1,16.8,510,1056,0.483,444,842,0.527,1.37,0.514
45,"Markieff Morris, PF",WSH,73,11.5,4.5,9.4,330,687,0.48,254,480,0.529,1.22,0.536
46,"Myles Turner, C",IND,65,12.7,4.7,9.8,306,639,0.479,250,482,0.519,1.3,0.523
47,"Victor Oladipo, SG",IND,75,23.1,8.5,17.9,640,1342,0.477,479,908,0.528,1.29,0.537
48,"Jayson Tatum, SF",BOS,80,13.9,5,10.4,397,835,0.475,292,593,0.492,1.33,0.538
