RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
1,"Aaron Jackson, PG",HOU,1,35.0,4,4.0,5.5,0,0,0
,"Chinanu Onuaku, C",HOU,1,22.0,4,4.0,8.7,0,0,0
3,"DeMarcus Cousins, C",NO,48,36.2,183,3.8,5.1,1,10,2
4,"Xavier Rathan-Mayes, SG",MEM,5,23.6,18,3.6,7.3,0,1,0
5,"Karl-Anthony Towns, C",MIN,82,35.6,285,3.5,4.7,0,4,1
6,"Kris Dunn, PG",CHI,52,29.3,174,3.3,5.5,0,1,1
,"Julius Randle, PF",LAL,82,26.7,274,3.3,6.0,0,7,0
,"Joel Embiid, C",PHI,63,30.3,209,3.3,5.2,4,6,0
,"Khris Middleton, SF",MIL,82,36.4,270,3.3,4.3,0,4,1
10,"Andre Drummond, C",DET,78,33.7,250,3.2,4.6,0,10,1
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
11,"Jusuf Nurkic, C",POR,79,26.4,247,3.1,5.7,0,7,0
,"Devin Booker, SG",PHX,54,34.5,168,3.1,4.3,5,9,1
,"Patrick Beverley, PG",LAC,11,30.4,34,3.1,4.9,0,1,0
,"Giannis Antetokounmpo, PF",MIL,75,36.7,231,3.1,4.0,2,3,1
,"Dwight Howard, C",CHA,81,30.4,249,3.1,4.9,2,17,0
16,"Aaron Harrison, G",DAL,9,25.9,27,3.0,5.6,0,0,0
,"Jeremy Lin, PG",BKN,1,25.0,3,3.0,5.8,0,0,0
,"Ian Mahinmi, C",WSH,77,14.9,230,3.0,9.6,0,1,0
,"Robert Covington, SF",PHI,80,31.6,238,3.0,4.5,0,1,0
,"Domantas Sabonis, C",IND,74,24.5,220,3.0,5.8,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Markieff Morris, PF",WSH,73,27.0,216,3.0,5.3,2,13,2
22,"Paul George, SF",OKC,79,36.6,233,2.9,3.9,0,7,0
,"Kristaps Porzingis, PF",NY,48,32.4,141,2.9,4.4,0,5,0
,"Kelly Olynyk, PF",MIA,76,23.4,222,2.9,6.0,0,2,0
,"John Collins, PF",ATL,74,24.1,215,2.9,5.8,0,0,0
,"Jarell Martin, PF",MEM,73,22.8,211,2.9,6.1,0,0,0
,"Kelly Oubre Jr., SF",WSH,81,27.5,234,2.9,5.0,0,10,0
,"Myles Turner, C",IND,65,28.2,186,2.9,4.9,0,1,0
29,"Marquese Chriss, PF",PHX,72,21.2,205,2.8,6.4,0,9,1
,"Dillon Brooks, SF",MEM,82,28.7,233,2.8,4.8,2,5,1
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Josh Jackson, SG",PHX,77,25.4,218,2.8,5.3,1,9,0
,"Steven Adams, C",OKC,76,32.7,215,2.8,4.1,0,9,0
,"Nikola Jokic, C",DEN,75,32.5,212,2.8,4.2,1,5,2
,"JaMychal Green, PF",MEM,55,28.0,153,2.8,4.8,0,2,0
,"Tyrone Wallace, SG",LAC,30,28.4,83,2.8,4.7,0,0,0
,"Brandon Ingram, SF",LAL,59,33.5,163,2.8,4.0,0,1,0
,"Serge Ibaka, PF",TOR,76,27.5,209,2.8,4.8,0,8,3
38,"Rudy Gobert, C",UTAH,56,32.4,153,2.7,4.0,0,8,0
,"Mario Chalmers, PG",MEM,66,21.5,179,2.7,6.0,0,7,0
,"Donovan Mitchell, SG",UTAH,79,33.4,213,2.7,3.9,0,2,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
41,"Ricky Rubio, PG",UTAH,77,29.3,206,2.7,4.4,0,0,0
,"Malcolm Brogdon, PG",MIL,48,29.9,128,2.7,4.3,0,0,0
,"Taj Gibson, PF",MIN,82,33.3,218,2.7,3.8,0,4,0
