RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
1,"Andre Drummond, C",DET,78,33.7,399,5.1,848,10.9,1247,16.0,22.8
2,"DeAndre Jordan, C",LAC,77,31.5,329,4.3,842,10.9,1171,15.2,23.2
3,"Dwight Howard, C",CHA,81,30.4,255,3.1,757,9.3,1012,12.5,19.7
4,"Karl-Anthony Towns, C",MIN,82,35.6,238,2.9,774,9.4,1012,12.3,16.6
5,"Anthony Davis, PF",NO,75,36.4,187,2.5,645,8.6,832,11.1,14.6
6,"Enes Kanter, C",NY,71,25.8,273,3.8,507,7.1,780,11.0,20.5
,"Joel Embiid, C",PHI,63,30.3,143,2.3,547,8.7,690,11.0,17.3
8,"Clint Capela, C",HOU,74,27.5,241,3.3,561,7.6,802,10.8,18.9
9,"Nikola Jokic, C",DEN,75,32.5,195,2.6,608,8.1,803,10.7,15.8
10,"Russell Westbrook, PG",OKC,80,36.4,152,1.9,652,8.2,804,10.1,13.2
RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
11,"Giannis Antetokounmpo, PF",MIL,75,36.7,156,2.1,597,8.0,753,10.0,13.1
12,"Kevin Love, C",CLE,59,28.0,101,1.7,445,7.5,546,9.3,15.9
13,"Steven Adams, C",OKC,76,32.7,384,5.1,301,4.0,685,9.0,13.2
,"Jusuf Nurkic, C",POR,79,26.4,189,2.4,519,6.6,708,9.0,16.3
15,"LeBron James, SF",CLE,82,36.9,97,1.2,612,7.5,709,8.6,11.2
,"Jonas Valanciunas, C",TOR,77,22.4,183,2.4,477,6.2,660,8.6,18.3
17,"LaMarcus Aldridge, PF",SA,75,33.5,246,3.3,389,5.2,635,8.5,12.1
18,"Ben Simmons, PG",PHI,81,33.7,145,1.8,514,6.3,659,8.1,11.6
,"Marc Gasol, C",MEM,73,33.0,78,1.1,514,7.0,592,8.1,11.8
20,"Pau Gasol, C",SA,77,23.5,129,1.7,490,6.4,619,8.0,16.4
RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
,"Julius Randle, PF",LAL,82,26.7,181,2.2,473,5.8,654,8.0,14.3
22,"Dewayne Dedmon, C",ATL,62,24.9,100,1.6,389,6.3,489,7.9,15.2
,"Aaron Gordon, PF",ORL,58,32.9,87,1.5,370,6.4,457,7.9,11.5
24,"Domantas Sabonis, C",IND,74,24.5,165,2.2,407,5.5,572,7.7,15.2
25,"Draymond Green, PF",GS,70,32.7,75,1.1,460,6.6,535,7.6,11.2
,"Al-Farouq Aminu, PF",POR,69,30.0,97,1.4,428,6.2,525,7.6,12.2
,"Marcin Gortat, C",WSH,82,25.3,181,2.2,442,5.4,623,7.6,14.4
28,"Alex Len, C",PHX,69,20.2,175,2.5,343,5.0,518,7.5,17.8
,"Lauri Markkanen, PF",CHI,68,29.7,79,1.2,429,6.3,508,7.5,12.1
30,"Blake Griffin, PF",DET/LAC,58,34.0,73,1.3,355,6.1,428,7.4,10.4
RK,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
,"Al Horford, PF",BOS,72,31.6,103,1.4,428,5.9,531,7.4,11.2
,"Ed Davis, PF",POR,78,18.9,183,2.3,392,5.0,575,7.4,18.8
