RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
1,"James Harden, PG",HOU,72,35.4,30.4,0.449,0.367,0.858
2,"Anthony Davis, PF",NO,75,36.4,28.1,0.534,0.34,0.828
3,"LeBron James, SF",CLE,82,36.9,27.5,0.542,0.367,0.731
4,"Damian Lillard, PG",POR,73,36.6,26.9,0.439,0.361,0.916
,"Giannis Antetokounmpo, PF",MIL,75,36.7,26.9,0.529,0.307,0.76
6,"Kevin Durant, SF",GS,68,34.2,26.4,0.516,0.419,0.889
7,"Russell Westbrook, PG",OKC,80,36.4,25.4,0.449,0.298,0.737
8,"Kyrie Irving, PG",BOS,60,32.2,24.4,0.491,0.408,0.889
9,"LaMarcus Aldridge, PF",SA,75,33.5,23.1,0.51,0.293,0.837
,"Victor Oladipo, SG",IND,75,34,23.1,0.477,0.371,0.799
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
11,"DeMar DeRozan, SG",TOR,80,33.9,23,0.456,0.31,0.825
12,"Joel Embiid, C",PHI,63,30.3,22.9,0.483,0.308,0.769
13,"Bradley Beal, SG",WSH,82,36.3,22.6,0.46,0.375,0.791
,"Lou Williams, SG",LAC,79,32.8,22.6,0.435,0.359,0.88
15,"Jimmy Butler, SG",MIN,59,36.7,22.2,0.474,0.35,0.854
16,"Kemba Walker, PG",CHA,80,34.2,22.1,0.431,0.384,0.864
17,"Paul George, SF",OKC,79,36.6,21.9,0.43,0.401,0.822
18,"Blake Griffin, PF",DET/LAC,58,34,21.4,0.438,0.345,0.785
,"CJ McCollum, SG",POR,81,36.1,21.4,0.443,0.397,0.836
20,"Karl-Anthony Towns, C",MIN,82,35.6,21.3,0.545,0.421,0.858
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
21,"Donovan Mitchell, SG",UTAH,79,33.4,20.5,0.437,0.34,0.805
22,"Khris Middleton, SF",MIL,82,36.4,20.1,0.466,0.359,0.884
23,"Klay Thompson, SG",GS,73,34.3,20,0.488,0.44,0.837
24,"TJ Warren, SF",PHX,65,33,19.6,0.498,0.222,0.757
25,"Dennis Schroder, PG",ATL,67,31,19.4,0.436,0.29,0.849
26,"Jrue Holiday, PG",NO,81,36.1,19,0.494,0.337,0.786
27,"Harrison Barnes, SF",DAL,77,34.2,18.9,0.445,0.357,0.827
28,"Chris Paul, PG",HOU,58,31.8,18.6,0.46,0.38,0.919
,"Tobias Harris, SF",DET/LAC,80,33.4,18.6,0.46,0.411,0.829
30,"Nikola Jokic, C",DEN,75,32.5,18.5,0.499,0.396,0.85
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
31,"Eric Gordon, SG",HOU,69,31.2,18,0.428,0.359,0.809
32,"Eric Bledsoe, PG",MIL/PHX,74,31.4,17.7,0.473,0.347,0.795
,"Andrew Wiggins, SF",MIN,82,36.3,17.7,0.438,0.331,0.643
34,"Aaron Gordon, PF",ORL,58,32.9,17.6,0.434,0.336,0.698
,"Kevin Love, C",CLE,59,28,17.6,0.458,0.415,0.88
36,"Gary Harris, SG",DEN,67,34.4,17.5,0.485,0.396,0.827
37,"Goran Dragic, PG",MIA,75,31.7,17.3,0.45,0.37,0.801
38,"Marc Gasol, C",MEM,73,33,17.2,0.42,0.341,0.834
39,"JJ Redick, SG",PHI,70,30.2,17.1,0.46,0.42,0.904
40,"Jamal Murray, PG",DEN,81,31.7,16.7,0.451,0.378,0.905
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
41,"Dwight Howard, C",CHA,81,30.4,16.6,0.555,0.143,0.574
42,"Kyle Lowry, PG",TOR,78,32.2,16.2,0.427,0.399,0.854
,"Carmelo Anthony, F",OKC,78,32.1,16.2,0.404,0.357,0.767
44,"Julius Randle, PF",LAL,82,26.7,16.1,0.558,0.222,0.718
,"Kyle Kuzma, PF",LAL,77,31.2,16.1,0.45,0.366,0.707
,"Brandon Ingram, SF",LAL,59,33.5,16.1,0.47,0.39,0.681
47,"Ben Simmons, PG",PHI,81,33.7,15.8,0.545,0,0.56
48,"Will Barton, SF",DEN,81,33.1,15.7,0.452,0.37,0.805
49,"Lauri Markkanen, PF",CHI,68,29.7,15.2,0.434,0.362,0.843
,"Dennis Smith Jr., PG",DAL,69,29.7,15.2,0.395,0.313,0.694
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
51,"Austin Rivers, PG",LAC,61,33.7,15.1,0.424,0.378,0.642
52,"Andre Drummond, C",DET,78,33.7,15,0.529,0,0.605
53,"Otto Porter Jr., SF",WSH,77,31.6,14.7,0.503,0.441,0.828
,"Rodney Hood, SG",CLE/UTAH,60,26.9,14.7,0.429,0.381,0.86
55,"Dario Saric, PF",PHI,78,29.6,14.6,0.453,0.393,0.86
56,"Jaylen Brown, SG",BOS,70,30.7,14.5,0.465,0.395,0.644
,"Zach Randolph, PF",SAC,59,25.6,14.5,0.473,0.347,0.785
58,"Jusuf Nurkic, C",POR,79,26.4,14.3,0.505,0,0.63
,"Bojan Bogdanovic, SF",IND,80,30.8,14.3,0.474,0.402,0.868
60,"Jeff Teague, PG",MIN,70,33,14.2,0.446,0.368,0.845
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
61,"Taurean Prince, SF",ATL,82,30,14.1,0.426,0.385,0.844
,"Enes Kanter, C",NY,71,25.8,14.1,0.592,0,0.848
63,"Jonathon Simmons, SF",ORL,69,29.4,13.9,0.465,0.338,0.768
,"Rondae Hollis-Jefferson, SF",BKN,68,28.3,13.9,0.472,0.241,0.788
,"Jayson Tatum, SF",BOS,80,30.5,13.9,0.475,0.434,0.826
,"Steven Adams, C",OKC,76,32.7,13.9,0.629,0,0.559
,"Jordan Clarkson, PG",CLE/LAL,81,23.3,13.9,0.451,0.352,0.8
,"Clint Capela, C",HOU,74,27.5,13.9,0.652,0,0.56
69,"Buddy Hield, SG",SAC,80,25.3,13.5,0.446,0.431,0.877
,"DeMarre Carroll, SF",BKN,73,29.9,13.5,0.414,0.371,0.764
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
71,"Kentavious Caldwell-Pope, SG",LAL,74,33.2,13.4,0.426,0.383,0.789
72,"Bobby Portis, PF",CHI,73,22.5,13.2,0.471,0.359,0.769
,"Allen Crabbe, SG",BKN,75,29.3,13.2,0.408,0.378,0.852
,"Michael Beasley, SF",NY,74,22.3,13.2,0.507,0.395,0.78
75,"Josh Jackson, SG",PHX,77,25.4,13.1,0.417,0.263,0.634
,"Ricky Rubio, PG",UTAH,77,29.3,13.1,0.418,0.352,0.866
77,"Brook Lopez, C",LAL,74,23.4,13,0.465,0.345,0.703
78,"Jeremy Lamb, SG",CHA,80,24.6,12.9,0.457,0.37,0.861
,"Josh Richardson, SF",MIA,81,33.2,12.9,0.451,0.378,0.845
,"Al Horford, PF",BOS,72,31.6,12.9,0.489,0.429,0.783
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
81,"Kent Bazemore, SG",ATL,65,27.5,12.9,0.42,0.394,0.796
82,"Willie Cauley-Stein, C",SAC,73,28,12.8,0.502,0.25,0.619
83,"Myles Turner, C",IND,65,28.2,12.7,0.479,0.357,0.777
,"Wesley Matthews, SG",DAL,63,33.8,12.7,0.406,0.381,0.822
,"Jonas Valanciunas, C",TOR,77,22.4,12.7,0.568,0.405,0.806
,"Elfrid Payton, PG",ORL/PHX,63,28.7,12.7,0.493,0.326,0.649
87,"Serge Ibaka, PF",TOR,76,27.5,12.6,0.483,0.36,0.797
,"Robert Covington, SF",PHI,80,31.6,12.6,0.413,0.369,0.853
,"Spencer Dinwiddie, PG",BKN,80,28.8,12.6,0.387,0.326,0.813
90,"E'Twaun Moore, SF",NO,82,31.5,12.5,0.508,0.425,0.706
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
91,"Darren Collison, PG",IND,69,29.2,12.4,0.495,0.468,0.882
92,"Derrick Favors, PF",UTAH,77,28,12.3,0.563,0.222,0.651
93,"Taj Gibson, PF",MIN,82,33.3,12.2,0.577,0.2,0.768
,"Justin Holiday, SG",CHI,72,31.5,12.2,0.371,0.359,0.823
95,"Marco Belinelli, SG",ATL/PHI,80,24.3,12.1,0.441,0.377,0.908
,"Caris LeVert, SG",BKN,71,26.3,12.1,0.435,0.347,0.711
97,"Dirk Nowitzki, C",DAL,77,24.7,12,0.456,0.409,0.898
,"DeAndre Jordan, C",LAC,77,31.5,12,0.645,0,0.58
,"Courtney Lee, SG",NY,76,30.4,12,0.454,0.406,0.919
100,"Robin Lopez, C",CHI,64,26.4,11.8,0.53,0.286,0.756
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
,"Thaddeus Young, PF",IND,81,32.2,11.8,0.487,0.32,0.598
,"Kelly Oubre Jr., SF",WSH,81,27.5,11.8,0.403,0.341,0.82
,"Bogdan Bogdanovic, SG",SAC,78,27.9,11.8,0.446,0.392,0.84
104,"Tyler Johnson, SG",MIA,72,28.5,11.7,0.435,0.367,0.822
,"Trevor Ariza, SF",HOU,67,33.9,11.7,0.412,0.368,0.854
106,"Domantas Sabonis, C",IND,74,24.5,11.6,0.514,0.351,0.75
,"J.J. Barea, PG",DAL,69,23.2,11.6,0.439,0.367,0.784
,"Nicolas Batum, SG",CHA,64,31,11.6,0.415,0.336,0.831
,"De'Aaron Fox, PG",SAC,73,27.8,11.6,0.412,0.307,0.723
110,"Markieff Morris, PF",WSH,73,27,11.5,0.48,0.367,0.82
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
,"Kelly Olynyk, PF",MIA,76,23.4,11.5,0.497,0.379,0.77
,"Joe Ingles, SF",UTAH,82,31.5,11.5,0.467,0.44,0.795
113,"Dwyane Wade, SG",CLE/MIA,67,22.9,11.4,0.438,0.288,0.714
114,"Reggie Bullock, SG",DET,62,27.9,11.3,0.489,0.445,0.796
,"Terry Rozier, PG",BOS,80,25.9,11.3,0.395,0.381,0.772
116,"Wayne Ellington, SG",MIA,77,26.5,11.2,0.407,0.392,0.859
117,"Frank Kaminsky, PF",CHA,79,23.2,11.1,0.429,0.38,0.799
118,"Draymond Green, PF",GS,70,32.7,11,0.454,0.301,0.775
,"Montrezl Harrell, PF",LAC,76,17,11,0.635,0.143,0.626
,"Dillon Brooks, SF",MEM,82,28.7,11,0.44,0.356,0.747
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
121,"Ish Smith, PG",DET,82,24.9,10.9,0.486,0.347,0.698
,"Ersan Ilyasova, PF",ATL/PHI,69,25.1,10.9,0.452,0.36,0.778
123,"Jeff Green, SF",CLE,78,23.4,10.8,0.477,0.312,0.868
,"Joe Harris, SF",BKN,78,25.3,10.8,0.491,0.419,0.827
,"James Johnson, PF",MIA,73,26.6,10.8,0.503,0.308,0.698
126,"John Collins, PF",ATL,74,24.1,10.5,0.576,0.34,0.715
127,"Jamal Crawford, SG",MIN,80,20.7,10.3,0.415,0.331,0.903
128,"Yogi Ferrell, PG",DAL,82,27.8,10.2,0.426,0.373,0.796
,"D.J. Augustin, PG",ORL,75,23.5,10.2,0.452,0.419,0.868
,"Denzel Valentine, SF",CHI,77,27.2,10.2,0.417,0.386,0.745
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
131,"Pau Gasol, C",SA,77,23.5,10.1,0.458,0.358,0.756
132,"Patty Mills, PG",SA,82,25.7,10,0.411,0.372,0.89
,"CJ Miles, SF",TOR,70,19.1,10,0.379,0.361,0.835
,"Wilson Chandler, SF",DEN,74,31.6,10,0.445,0.358,0.772
,"George Hill, PG",CLE/SAC,67,27,10,0.46,0.415,0.786
,"Dewayne Dedmon, C",ATL,62,24.9,10,0.524,0.355,0.779
137,"Trey Lyles, PF",DEN,73,19.1,9.9,0.491,0.381,0.706
138,"Jae Crowder, PF",CLE/UTAH,80,26.1,9.7,0.404,0.323,0.818
139,"Mario Hezonja, SF",ORL,75,22.1,9.6,0.442,0.337,0.819
140,"Marvin Williams, PF",CHA,78,25.7,9.5,0.458,0.413,0.829
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
141,"Ryan Anderson, PF",HOU,66,26.1,9.3,0.431,0.386,0.774
,"Al-Farouq Aminu, PF",POR,69,30,9.3,0.395,0.369,0.738
143,"Lance Stephenson, SG",IND,82,22.6,9.2,0.427,0.289,0.661
,"Kyle Korver, SG",CLE,73,21.6,9.2,0.459,0.436,0.889
,"Michael Kidd-Gilchrist, SF",CHA,74,25,9.2,0.504,0,0.684
