RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
1,"Victor Oladipo, SG",IND,75,34.0,177,2.36,3.33,219,2.92,175,0.81,1.01
2,"Paul George, SF",OKC,79,36.6,161,2.04,2.67,212,2.68,233,0.76,0.69
3,"Eric Bledsoe, PG",MIL/PHX,74,31.4,149,2.01,3.08,216,2.92,185,0.69,0.81
4,"Jimmy Butler, SG",MIN,59,36.7,116,1.97,2.57,108,1.83,78,1.07,1.49
5,"Russell Westbrook, PG",OKC,80,36.4,147,1.84,2.42,381,4.76,200,0.39,0.74
6,"Gary Harris, SG",DEN,67,34.4,122,1.82,2.54,119,1.78,119,1.03,1.03
7,"James Harden, PG",HOU,72,35.4,126,1.75,2.37,315,4.38,169,0.40,0.75
8,"Ben Simmons, PG",PHI,81,33.7,140,1.73,2.46,278,3.43,211,0.50,0.66
9,"Robert Covington, SF",PHI,80,31.6,137,1.71,2.60,126,1.58,238,1.09,0.58
10,"Thaddeus Young, PF",IND,81,32.2,135,1.67,2.49,105,1.30,175,1.29,0.77
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
11,"Chris Paul, PG",HOU,58,31.8,96,1.66,2.49,128,2.21,141,0.75,0.68
12,"Ricky Rubio, PG",UTAH,77,29.3,121,1.57,2.58,207,2.69,206,0.58,0.59
13,"Kyle Anderson, SF",SA,74,26.7,115,1.55,2.79,94,1.27,114,1.22,1.01
14,"Kent Bazemore, SG",ATL,65,27.5,100,1.54,2.68,157,2.42,147,0.64,0.68
15,"Anthony Davis, PF",NO,75,36.4,115,1.53,2.02,162,2.16,159,0.71,0.72
16,"Jrue Holiday, PG",NO,81,36.1,123,1.52,2.02,213,2.63,201,0.58,0.61
17,"Otto Porter Jr., SF",WSH,77,31.6,116,1.51,2.29,75,0.97,151,1.55,0.77
18,"Josh Richardson, SF",MIA,81,33.2,121,1.49,2.16,140,1.73,199,0.86,0.61
,"Donovan Mitchell, SG",UTAH,79,33.4,118,1.49,2.15,215,2.72,213,0.55,0.55
20,"Trevor Ariza, SF",HOU,67,33.9,98,1.46,2.07,52,0.78,132,1.88,0.74
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
,"Andre Drummond, C",DET,78,33.7,114,1.46,2.08,200,2.56,250,0.57,0.46
,"Jeff Teague, PG",MIN,70,33.0,102,1.46,2.12,177,2.53,171,0.58,0.60
23,"Giannis Antetokounmpo, PF",MIL,75,36.7,109,1.45,1.90,223,2.97,231,0.49,0.47
,"Khris Middleton, SF",MIL,82,36.4,119,1.45,1.92,191,2.33,270,0.62,0.44
25,"Kentavious Caldwell-Pope, SG",LAL,74,33.2,106,1.43,2.07,97,1.31,145,1.09,0.73
26,"LeBron James, SF",CLE,82,36.9,116,1.41,1.84,347,4.23,136,0.33,0.85
27,"Stanley Johnson, SF",DET,69,27.4,95,1.38,2.41,77,1.12,169,1.23,0.56
28,"Draymond Green, PF",GS,70,32.7,95,1.36,1.99,202,2.89,185,0.47,0.51
29,"Darren Collison, PG",IND,69,29.2,92,1.33,2.19,86,1.25,122,1.07,0.75
