RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
1,"Josh Smith, PF",NO,3,4.0,0,0.0,0.0,0.00,0.00
,"Josh McRoberts, PF",DAL,2,3.0,0,0.0,0.0,0.00,0.00
,"Gordon Hayward, SF",BOS,1,5.0,0,0.0,0.0,0.00,0.00
,"Derrick Williams, PF",LAL,2,4.5,0,0.0,0.0,0.00,0.00
,"Xavier Silas, G",BOS,2,3.5,0,0.0,0.0,0.00,0.00
,"Trey McKinney-Jones, SG",IND,1,1.0,0,0.0,0.0,0.00,0.00
,"Reggie Hearn, SG",DET,3,2.3,0,0.0,0.0,0.00,0.00
,"Nate Wolters, PG",UTAH,5,3.8,0,0.0,0.0,0.00,0.00
,"Jarell Eddie, F",BOS/CHI,3,3.0,0,0.0,0.0,0.00,0.00
,"Anthony Brown, F",MIN,1,4.0,0,0.0,0.0,0.00,0.00
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Marcus Paige, PG",CHA,5,5.6,0,0.0,0.0,0.00,0.00
,"Naz Mitrou-Long, G",UTAH,1,1.0,0,0.0,0.0,0.00,0.00
,"Mangok Mathiang, PF",CHA,4,5.0,0,0.0,0.0,0.00,0.00
,"Jacob Wiley, SF",BKN,5,6.6,0,0.0,0.0,0.00,0.00
,"Ben Moore, F",IND,2,4.5,0,0.0,0.0,0.00,0.00
,"Edmond Sumner, PG",IND,1,2.0,0,0.0,0.0,0.00,0.00
,"Devin Robinson, SF",WSH,1,13.0,0,0.0,0.0,0.00,0.00
,"Mindaugas Kuzminskas, F",NY,1,2.0,0,0.0,0.0,0.00,0.00
,"Justin Patton, C",MIN,1,4.0,0,0.0,0.0,0.00,0.00
,"Nicolas Brussino, SF",ATL,4,2.5,0,0.0,0.0,0.00,0.00
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Tyler Lydon, PF",DEN,1,2.0,0,0.0,0.0,0.00,0.00
,"Chris Boucher, F",GS,1,1.0,0,0.0,0.0,0.00,0.00
,"Tony Bradley, C",UTAH,9,3.2,0,0.0,0.0,0.00,0.00
,"Cole Aldrich, C",MIN,21,2.3,1,0.0,1.0,3.00,2.00
25,"London Perrantes, G",CLE,14,4.7,1,0.1,0.7,5.00,2.00
,"Marcus Georges-Hunt, SG",MIN,42,5.3,3,0.1,0.6,2.33,2.00
,"Charles Cooke, SG",NO,13,2.9,1,0.1,1.3,1.00,1.00
,"Alex Poythress, F",IND,25,4.2,2,0.1,0.9,1.00,1.50
,"Dakari Johnson, C",OKC,31,5.2,3,0.1,0.9,2.67,2.00
